id,adresa,prum_cena,x,y
9750,"Strakonická 2860/4, 150 00 Praha 5",81.33333333333333,14.4109734,50.0643197
6870,"Kyselova 1657/5, 182 00 Praha 8",66.7,14.4664722,50.1275217
9736,"Radlická 117, 158 00 Praha 5",86.14285714285714,14.3537456,50.0476058
9700,"Řevnická 1, 155 01 Praha 5",50.333333333333336,14.2875481,50.053295
9352,"Loretánské náměstí 4/110, 118 00 Praha 1",85.71428571428571,14.3909821,50.0880046
9640,"Korunní 96, 101 00 Praha 10",158.0,14.4539735,50.0753218
6213,"Vodičkova 39, 110 00 Praha 1",77.0,14.426129,50.0818805
6837,"Novodvorská 151, 142 00 Praha 4",77.25,14.4330501,50.0246389
9572,"Olšanské náměstí, 130 00 Praha 3",22.0,14.457601,50.08247
9608,"Balbínova 22, 120 00 Praha 2",98.85714285714286,14.4352682,50.0787544
9548,"Pod Harfou 938/40, 190 00 Praha 9",142.55555555555554,14.5098211,50.1037833
3745,"Šaldova 34, 186 00 Praha 8",111.41176470588235,14.4550347,50.0944741
2902,"Vacínova 10, 180  00 Praha 8",102.5,14.4771802,50.1044622
6703,"Radhošťská 2004/5, 130 00 Praha 3",110.2,14.4566149,50.07822100000001
9452,"Krakovská 20, 110 00 Praha 1",101.0,14.4285077,50.0791358
650,"Sokolovská 23, 180 00 Praha 8",145.11320754716982,14.4698007,50.09973350000001
9408,"Hybernská 26, 1100 Praha 1",112.58333333333333,14.4341417,50.0872215
9394,"Milady Horákové 47, 170 00 Praha 7",81.13888888888889,14.4270543,50.0998117
9146,"U Kanálky 14, 120 00 Praha 2",265.0,14.4461056,50.0784378
4633,"Zbraslavské náměstí 453, 156 00 Praha 5",105.0,14.392847,49.9757237
9250,"Pikovická 3, 147 00 Praha 4",90.41666666666667,14.4071042,50.0294912
9354,"Navrátilova 6, 110 00 Praha 1",161.42857142857142,14.4223219,50.0784312
9308,"Seifertova 67, 130 00 Praha 3",89.0,14.4484743,50.0847175
9310,"Rumunská 25, 120 00 Praha 2",89.0,14.4335002,50.0742918
9312,"Šmeralova 3/137, 170 00 Praha 7",94.28571428571429,14.4214304,50.1026843
9314,"Štefánikova 77/52, 150 00 Praha 5",88.53333333333333,14.4044681,50.0779343
4769,"Arbesovo náměstí 1, 150 00 Praha 5",68.5,14.4056677,50.07589309999999
9290,"Žitavského 495, 153 00 Praha 5",59.05882352941177,14.3952552,49.974135
1075,"Urxova 5, 186 00 Praha 8",111.59183673469387,14.4574573,50.0944595
6632,"Štěpánská 3, 120 00 Praha 2",90.33333333333333,14.4240978,50.0759937
2965,"Mladoboleslavská 224, 190 17 Praha 9 - Vinoř",89.14925373134328,14.5785043,50.1408537
9202,"Na Pankráci 49, 140 00 Praha 4",89.0,14.4307459,50.0592335
9162,"Vyšehradská 43, 120 00 Praha 2",99.86666666666666,14.4183177,50.0732688
788,"Lidická 42, 150 00 Praha 5",80.56363636363636,14.4044446,50.07221639999999
2669,"Na Pankráci 15, 140 21 Praha 4",161.48387096774192,14.4345887,50.056328
8594,"Bořijova 10, 130 00 Praha 3",84.0,14.4548681,50.0799375
1692,"Rokycanova 10, 130 00 Praha 3",66.0909090909091,14.4550062,50.0841272
6134,"Turínská 1494/1, 109 00 Praha 10",65.66666666666667,14.5479039,50.03788489999999
8504,"Musílkova 35, 150 00 Praha 5",115.0,14.3676971,50.0672899
6112,"Zenklova 131/222, 182 00 Praha 8",59.095238095238095,14.4586851,50.120128
5653,"Goetheho 25/105, 160 00 Praha 6",79.5,14.4024713,50.1077269
1256,"Radlická 298/105, 150 00 Praha 5",41.089285714285715,14.3801532,50.05629589999999
2690,"Klimentská 26, 110 00 Praha 1",57.8,14.4305328,50.0920576
8494,"Nad Lávkou 5/790, 160 00 Praha 6",111.1,14.3417408,50.0984036
947,"Sokolovská 198/207, 190 00 Praha 9",107.0,14.4971024,50.1098075
4720,"Seminářská zahrada 393, 118 00 Praha 1",125.25,14.4210489,50.0878334
8414,"Malostranské nám. 25,  Praha 1",80.0,14.4037485,50.0885197
6046,"Na Příkopě 19, 1.patro NG Myslbek, 110 00 Praha 1",273.3333333333333,14.4252267,50.0855066
8252,"U Průhonu 54, 170 00 Praha 7",47.6,14.4548289,50.105055
8254,"Dělnická 30, 170 00 Praha 7",46.4,14.4491878,50.1031972
1912,"Na Dědince 12, 180 00 Praha 8",64.33333333333333,14.472539,50.1154988
8080,"Suchý Vršek 2122/33, 155 00 Praha 5",35.0,14.3444062,50.0471081
7974,"Milady Horákové 35, 170 00 Praha 7",61.064516129032256,14.4285552,50.0995152
7574,"Jugoslávská 7/670, 120 00 Praha 2",69.36363636363636,14.4312103,50.0748831
7970,"V Celnici 4, 110 00 Praha 1",298.3333333333333,14.4303283,50.0881931
8054,"V Jámě 8/1371, 110 00 Praha 1",58.4,14.4250264,50.07999720000001
8068,"Ovocný trh 6, 110 00 Praha 1",85.0,14.4242186,50.08601669999999
8018,"U Průhonu 46, 170 00 Praha 7",93.0,14.4529064,50.1050927
5454,"Panská 1308/9, 110 00 Praha 1",152.89473684210526,14.4279337,50.0840183
2403,"Sokolovská 258, 190 00 Praha 9",94.3,14.488754,50.1066292
7876,"Maltézské náměstí 9, 118 00 Praha",100.0,14.4050613,50.086459
7888,"Žitná 11, 110 00 Praha 1",57.42857142857143,14.4230163,50.07751469999999
4698,"Toužimská 51 (křižovatka Toužimská/Ašská), 190 00 Praha 9",155.6,14.5189232,50.1372598
7826,"náměstí Republiky 656/8, 110 00 Praha 1",79.77777777777777,14.4277074,50.0890997
7812,"Wolkerova 12, 160 00 Praha 6",72.0,14.4107868,50.1035255
7764,"Týn 6, 110 00 Praha 1",109.0,14.4238438,50.08790459999999
2131,"Jihlavská 507, 140 00 Praha 4",117.52380952380952,14.4568329,50.0445084
7696,"Hálkova 6, 120 00 Praha 2",63.666666666666664,14.4282538,50.0761408
5716,"Na Pankráci 1600/82, 140 00 Praha 4",32.666666666666664,14.4381203,50.0528195
7678,"Vinohradská 1510/228, 100 00 Praha 10",95.0,14.4875575,50.0768447
7686,"Na Bělidle 42, 150 00 Praha 5",121.0,14.4047214,50.0716447
7688,"Hvězdova 2860/24, 140 00 Praha 4",132.57142857142858,14.4396575,50.0522858
5753,"Podolské nábřeží - Přístav 1, 147 00 Praha 4, Podolí",105.8,14.4207358,50.0575883
7604,"Ostrovní 34, 110 00 Praha 1",172.57142857142858,14.4194322,50.081036
7612,"Štefánikova 7, 150 00 Praha 5",79.39393939393939,14.4035251,50.0727008
7658,"Oblouková 17, 101 00 Praha 10",67.64285714285714,14.4560702,50.0669376
7158,"Na Pankráci 86, 140 00 Praha 4",30.0,14.4391031,50.0511586
7160,"Náměsí Republiky 1, 110 00 Praha 1",30.0,14.4285598,50.08928239999999
861,"Vysočanská 382, 190 00 Praha 9",168.0,14.4991532,50.1194637
1807,"S.K.Neumanna 35, 182 00 Praha 8",78.28571428571429,14.4584517,50.1199041
7490,"Sokolovská 150/1273, 180 00 Praha 8",49.333333333333336,14.4703046,50.09967409999999
2249,"Vrchlického 96, 150 00 Praha 5",71.0,14.3815227,50.0698059
2315,"Vodičkova 6, 110 00 Praha 1",45.0,14.4217288,50.0784656
5589,"Králodvorská 4, 110 00 Praha 1",121.66666666666667,14.4265853,50.0877946
7346,"Londýnska 315/71, 120 00 Praha 2",228.21428571428572,14.4330497,50.0760309
396,"Ve smečkách 27, 110 00 Praha 1",228.25301204819277,14.4272787,50.0795985
7070,"Moskevská 529, 101 00 Praha 10",46.714285714285715,14.4580411,50.0681564
8192,"Bruselská 8, 120 00 Praha 2",106.78571428571429,14.4344405,50.0722102
9704,"Branická 146/1881, 147 00 Praha 4",66.85714285714286,14.4290992,50.0367452
9570,"Vojtěšská 9, 110 00 Praha 1",105.0,14.4148694,50.0783233
5656,"Preslova 13, 150 00 Praha 5",116.1875,14.406274,50.0741598
9462,"Náměstí republiky 1, 110 00 Praha 1",71.76,14.4285598,50.08928239999999
9516,"Starostrašnická 54, 100 00 Praha 10",81.15,14.489749,50.0756555
9428,"Koněvova 1194/85, 130 00 Praha",67.94736842105263,14.4640385,50.08957239999999
9330,"Karlovo náměstí 34, 120 00 Praha 2",87.58823529411765,14.4211018,50.0781686
6695,"Národní 11, 110 00 Praha 1",121.0,14.4159896,50.0816504
9154,"Francouzská 72, 101 00 Praha 10",82.38461538461539,14.4456043,50.0720058
9136,"Ohradní 1166/26, 140 00 Praha 4",99.0,14.4570104,50.0524903
809,"Štefánikova 44, 150 00 Praha 5",45.0,14.4043567,50.0772146
4278,"Kudrnova 234/4a, 150 00 Praha 5",89.66666666666667,14.3468853,50.0711482
9070,"Vršovická 51, 100 00 Praha 10",75.0,14.460487,50.06741599999999
9096,"U Milosrdných 848/4, 110 00 Praha 1",136.5,14.4208784,50.0916849
9010,"U Rajské zahrady 639/16, 130 00 Praha 3",128.63636363636363,14.4441891,50.08266099999999
6855,"Národní 37, 110 00 Praha",88.42857142857143,14.4205653,50.0827709
482,"Slezská 32, 120 00 Praha 2",81.0,14.443109,50.0761559
4924,"Mukařovského 1985, 155 00 Praha 5",133.0,14.3217611,50.0446859
5510,"Areál Výstaviště 67, 170 00 Praha 7",71.94444444444444,14.4315045,50.1055907
8790,"Klapkova 127/6, 182 00 Praha 8",115.44736842105263,14.4557799,50.1222412
9184,"Náměstí Míru 15, 120 00 Praha",88.57142857142857,14.4362979,50.0745034
9446,"Těšnov 1, 110 00 Praha 1",92.66666666666667,14.4365567,50.0908953
6630,"Tulipánová 142, 252 43 Praha 4",105.0,14.5623206,50.0036755
