id,adresa,prum_cena
7980,"Valteřická 1437,  Vrchlabí",77.61363636363636
2914,"Habrmanova 336, 500 02 Hradec Králové",95.0
2536,"Bulharská 1784, 530 03 Pardubice",nan
9536,"Cihlářova 5/15, 571 01 Moravská Třebová",92.507936507936506
8010,"Smilova 386, 530 02 Pardubice",69.200000000000003
6015,"Štrossova 1338, 530 03 Pardubice",75.0
2383,"Bělehradská 326, 530 09 Pardubice",91.75
6303,"Rybova 1901/14, 500 09 Hradec Králové",245.0
6501,"U Stadionu 942, 568 02 Svitavy",124.0
6497,"Náměstí Míru 16, 568 02 Svitavy",nan
8788,"Pernštýnské náměstí 54, 530 09 Pardubice",86.833333333333329
4544,"Dašická 1712, 530 03 Pardubice",nan
6639,"Na Splavě 583, 560 02 Česká Třebová",93.5
6647,"Kozlovská 565, 560 02 Česká Třebová",69.0
6746,"Mařákova 280, 570 01 Litomyšl",64.166666666666671
10544,"Třída Míru 64, 530 02 Pardubice",28.03846153846154
6511,"Tovární 10, 568 02 Svitavy",nan
6769,"Moravská 1200, 570 01 Litomyšl",133.05555555555554
8732,"Masarykovo náměstí 2799, 531 71 Pardubice",nan
9538,"Smetanovo náměstí 59, 570 01 Litomyšl",26.199999999999999
10540,"Smilova 312, 530 02 Pardubice",nan
5012,"Kozí 8, 602 00 Brno",nan
5669,"nám. Svobody 9,  Brno",nan
1190,"Kounicova 43, 606 00 Brno",93.799999999999997
7464,"Květinářská 3, 602 00 Brno",65.293333333333337
1222,"Kounicova 20, 602 00 Brno",nan
6732,"Joštova 4, 602 00 Brno",124.33333333333333
5193,"Štefánikova 134/64, 612 00 Brno",17.333333333333332
4373,"Hybešova 224/13, 602 00 Brno",59.333333333333336
246,"Orlí 17, 602 00 Brno",89.0
5419,"Zelný trh 2, 602 00 Brno",nan
10406,"Kamenačky 20, 636 00 Brno",99.0
10254,"Šilingrovo náměstí 4/5, 602 00 Brno",212.66666666666666
9628,"Jihlavská 7a, 625 00 Brno",142.57142857142858
10076,"Palackého třída 60, 612 00 Brno",124.0
9994,"Kuldova 1, 615 00 Brno",129.0
9996,"Žarošická 24, 629 00 Brno",139.0
9998,"Benešova 22, 602 00 Brno",nan
9710,"Lipová 49,  Velké Bílovice",89.666666666666671
1798,"Belcrediho 25, 628 00 Brno",90.0
9648,"Dvořákova 13, 602 00 Brno",86.0
9568,"Křižkovského 47, 603 00 Brno",82.333333333333329
3256,"Kobližná 5, 602 00 Brno",nan
9470,"Makovského náměstí 1, 616 00 Brno",121.0
9274,"Svratecká 845, 664 42 Modřice",103.5
9254,"Švermova 9a, 625 00 Brno",79.0
247,"Beethovenova 7, 602 00 Brno",79.055555555555557
9044,"Veveří 461/14, 602 00 Brno",nan
8990,"Palachovo náměstí 726/2, 625 00 Brno",155.5
6420,"Obilní trh 10, 602 00 Brno",104.40000000000001
1113,"Husova 200/16, 602 00 Brno",120.0
273,"Hrnčířská 6, 602 00 Brno",42.470588235294116
8600,"Josefy Faimonové 11b, 628 00 Brno",99.0
8652,"Loosova 1, 638 00 Brno",79.0
4600,"Husova 13, 602 00 Brno",124.33333333333333
124,"Masova 8, (Lidicka, Kounicova, Žerotínovo náměstí, Koliste), 602 00 Brno",12.0
8386,"Grohova 2, 602 00 Brno",73.0
7962,"Jedovnická 7, 628 00 Brno",149.0
1081,"U Koupaliště 8, 679 61 Letovice",99.0
